question,two_category,option_a,option_b,option_c,option_d,correct_text,explanation
"What is a transitive dependency?","Normalization & Dependencies","A dependency where A→B and B→C implies A→C","A foreign key relationship","An index dependency","A constraint dependency","A dependency where A→B and B→C implies A→C","A transitive dependency exists when A determines B, B determines C, but A doesn't directly determine C."
"What is denormalization?","Normalization & Dependencies","The process of adding redundancy to improve performance","The process of removing all constraints","The process of deleting tables","The process of creating more indexes","The process of adding redundancy to improve performance","Denormalization is intentionally adding redundancy to a normalized database to improve query performance."
"What is a partial dependency?","Normalization & Dependencies","A dependency where a non-key attribute depends on part of a composite key","A dependency between two primary keys","A dependency on a single attribute","A dependency on all attributes","A dependency where a non-key attribute depends on part of a composite key","A partial dependency occurs when a non-key attribute depends on only part of a composite primary key."
"What is an entity in database design?","Data Modeling & DBMS Fundamentals","A person, place, thing, or concept about which data is stored","A relationship between tables","A constraint on data","An index on a table","A person, place, thing, or concept about which data is stored","An entity is a real-world object or concept that can be uniquely identified and about which data is stored."
"What is an attribute in database design?","Data Modeling & DBMS Fundamentals","A property or characteristic of an entity","A relationship between entities","A constraint on data","An index on a table","A property or characteristic of an entity","An attribute is a property or characteristic that describes an entity."
"What is a relationship in database design?","Data Modeling & DBMS Fundamentals","An association between two or more entities","A constraint on data types","An index on a table","A primary key","An association between two or more entities","A relationship is an association between two or more entities that shows how they are related."
"What is cardinality in database relationships?","Data Modeling & DBMS Fundamentals","The number of instances of one entity that can be associated with another","The number of attributes in an entity","The number of primary keys","The number of foreign keys","The number of instances of one entity that can be associated with another","Cardinality describes the number of instances of one entity that can be associated with instances of another entity."
"What is a one-to-one relationship?","Data Modeling & DBMS Fundamentals","A relationship where each instance of one entity relates to exactly one instance of another","A relationship with only one attribute","A relationship with one primary key","A relationship with one foreign key","A relationship where each instance of one entity relates to exactly one instance of another","A one-to-one relationship exists when each instance of one entity is associated with exactly one instance of another entity."
"What is a one-to-many relationship?","Data Modeling & DBMS Fundamentals","A relationship where one instance of an entity can relate to many instances of another","A relationship with one primary key and many foreign keys","A relationship with one attribute and many values","A relationship with one table and many columns","A relationship where one instance of an entity can relate to many instances of another","A one-to-many relationship exists when one instance of an entity can be associated with many instances of another entity."
"What is a many-to-many relationship?","Data Modeling & DBMS Fundamentals","A relationship where many instances of one entity can relate to many instances of another","A relationship with many primary keys","A relationship with many foreign keys","A relationship with many attributes","A relationship where many instances of one entity can relate to many instances of another","A many-to-many relationship exists when many instances of one entity can be associated with many instances of another entity."
"What is an ER diagram?","Data Modeling & DBMS Fundamentals","A visual representation of entities and their relationships","A table structure diagram","A query execution plan","A database schema","A visual representation of entities and their relationships","An Entity-Relationship diagram is a visual representation of entities, attributes, and relationships in a database."
"What is a weak entity?","Data Modeling & DBMS Fundamentals","An entity that cannot be uniquely identified without referencing another entity","An entity with no attributes","An entity with no primary key","An entity with no relationships","An entity that cannot be uniquely identified without referencing another entity","A weak entity is an entity that cannot be uniquely identified by its own attributes and depends on another entity."
"What is a strong entity?","Data Modeling & DBMS Fundamentals","An entity that can be uniquely identified by its own attributes","An entity with many attributes","An entity with a composite key","An entity with many relationships","An entity that can be uniquely identified by its own attributes","A strong entity is an entity that can be uniquely identified by its own attributes and doesn't depend on another entity."
"What is a database schema?","Data Modeling & DBMS Fundamentals","The structure or blueprint of a database","A single table","A query result","An index","The structure or blueprint of a database","A database schema is the structure or blueprint that defines the organization of data in a database."
"What is data integrity?","Data Modeling & DBMS Fundamentals","The accuracy and consistency of data in a database","The speed of data retrieval","The size of the database","The number of tables","The accuracy and consistency of data in a database","Data integrity refers to the accuracy, consistency, and reliability of data stored in a database."
"What is referential integrity?","Data Modeling & DBMS Fundamentals","The consistency of foreign key references","The accuracy of primary keys","The speed of queries","The size of indexes","The consistency of foreign key references","Referential integrity ensures that foreign key values in one table correspond to primary key values in another table."
"What is a database constraint?","Data Modeling & DBMS Fundamentals","A rule that limits the values that can be stored in a database","A relationship between tables","An index on a table","A query optimization","A rule that limits the values that can be stored in a database","A database constraint is a rule that limits the values that can be stored in a database to maintain data integrity."
"What is a database index?","Data Modeling & DBMS Fundamentals","A data structure that improves query performance","A table relationship","A data type","A constraint","A data structure that improves query performance","A database index is a data structure that improves the speed of data retrieval operations on a database table."
